iter	Passed	Remaining
432	1536	2012
433	1539	2007
434	1542	2003
435	1545	1999
436	1549	1996
437	1552	1991
438	1554	1986
439	1557	1982
440	1559	1976
441	1561	1971
442	1563	1965
443	1566	1961
444	1568	1956
445	1571	1952
446	1574	1947
447	1577	1943
448	1579	1938
449	1582	1934
450	1587	1932
451	1591	1929
452	1595	1926
453	1598	1921
454	1601	1918
455	1607	1918
456	1611	1914
457	1616	1913
458	1620	1909
459	1624	1906
460	1626	1901
461	1628	1896
462	1631	1891
463	1635	1888
464	1640	1887
465	1643	1883
466	1647	1880
467	1651	1877
468	1654	1873
469	1657	1869
470	1660	1864
471	1666	1863
472	1669	1860
473	1673	1857
474	1677	1853
475	1680	1849
476	1684	1846
477	1688	1843
478	1691	1839
479	1694	1836
480	1699	1833
481	1702	1830
482	1706	1826
483	1709	1822
484	1717	1824
485	1721	1820
486	1723	1815
487	1727	1812
488	1731	1809
489	1734	1805
490	1739	1803
491	1745	1802
492	1748	1798
493	1752	1794
494	1756	1792
495	1760	1788
496	1763	1784
497	1766	1780
498	1770	1777
499	1777	1777
500	1782	1774
501	1787	1773
502	1791	1770
503	1795	1767
504	1798	1762
505	1802	1759
506	1807	1757
507	1809	1752
508	1812	1748
509	1814	1743
510	1819	1741
511	1823	1737
512	1826	1733
513	1829	1729
514	1833	1727
515	1837	1723
516	1840	1719
517	1843	1715
518	1846	1711
519	1848	1706
520	1850	1701
521	1854	1697
522	1858	1694
523	1861	1690
524	1866	1688
525	1869	1684
526	1872	1680
527	1875	1676
528	1880	1674
529	1882	1669
530	1885	1665
531	1887	1660
532	1889	1655
533	1893	1652
534	1896	1648
535	1898	1643
536	1900	1638
537	1902	1633
538	1904	1629
539	1906	1624
540	1909	1620
541	1911	1615
542	1914	1610
543	1916	1606
544	1918	1601
545	1921	1598
546	1924	1593
547	1927	1589
548	1930	1585
549	1933	1582
550	1939	1580
551	1943	1577
552	1946	1573
553	1950	1570
554	1955	1567
555	1958	1564
556	1961	1559
557	1964	1556
558	1966	1551
559	1970	1548
560	1973	1543
561	1976	1540
562	1978	1536
563	1981	1531
564	1985	1528
565	1988	1524
566	1991	1520
567	1993	1516
568	1996	1512
569	1999	1508
570	2002	1504
571	2005	1500
572	2009	1497
573	2012	1493
574	2016	1490
575	2019	1486
576	2022	1482
577	2025	1478
578	2028	1475
579	2032	1471
580	2035	1467
581	2038	1463
582	2040	1459
583	2043	1455
584	2045	1451
585	2048	1447
586	2050	1442
587	2053	1438
588	2055	1434
589	2060	1431
590	2062	1427
591	2064	1422
592	2068	1419
593	2070	1415
594	2075	1412
595	2078	1409
596	2081	1405
597	2084	1401
598	2088	1398
599	2092	1394
600	2095	1391
601	2098	1387
602	2101	1383
603	2104	1379
604	2107	1375
605	2109	1371
606	2111	1367
607	2114	1363
608	2116	1358
609	2119	1355
610	2122	1351
611	2124	1346
612	2126	1342
613	2128	1338
614	2131	1334
615	2134	1330
616	2136	1326
617	2139	1322
618	2142	1318
619	2144	1314
620	2148	1311
621	2151	1307
622	2153	1303
623	2156	1299
624	2160	1296
625	2166	1294
626	2168	1290
627	2170	1285
628	2173	1281
629	2175	1277
630	2178	1274
631	2181	1270
632	2184	1266
633	2187	1262
634	2189	1258
635	2193	1255
636	2197	1251
637	2200	1248
638	2202	1244
639	2205	1240
640	2208	1236
641	2210	1232
642	2213	1229
643	2216	1225
644	2219	1221
645	2221	1217
646	2225	1214
647	2227	1209
648	2229	1205
649	2231	1201
650	2234	1197
651	2236	1193
652	2239	1190
653	2241	1185
654	2243	1181
655	2245	1177
656	2248	1173
657	2249	1169
658	2252	1165
659	2255	1161
660	2257	1157
661	2259	1153
662	2262	1149
663	2264	1145
664	2266	1141
665	2269	1138
666	2271	1133
667	2273	1129
668	2275	1125
669	2277	1121
670	2279	1117
671	2284	1114
672	2287	1111
673	2290	1107
674	2293	1104
675	2299	1102
676	2304	1099
677	2307	1095
678	2311	1092
679	2314	1089
680	2319	1086
681	2323	1083
682	2328	1080
683	2331	1077
684	2333	1073
685	2336	1069
686	2339	1065
687	2341	1062
688	2344	1058
689	2347	1054
690	2349	1050
691	2351	1046
692	2357	1044
693	2361	1041
694	2364	1037
695	2367	1033
696	2370	1030
697	2375	1027
698	2378	1024
699	2380	1020
700	2383	1016
701	2391	1015
702	2393	1011
703	2397	1007
704	2404	1006
705	2407	1002
706	2411	999
707	2414	995
708	2419	992
709	2424	990
710	2427	986
711	2430	983
712	2434	979
713	2436	976
714	2439	972
715	2442	968
716	2445	965
717	2455	964
718	2458	960
719	2460	957
720	2464	953
721	2469	950
722	2472	947
723	2474	943
724	2477	939
725	2479	935
726	2482	932
727	2484	928
728	2486	924
729	2492	921
730	2495	918
731	2498	914
732	2504	912
733	2510	909
734	2513	906
735	2516	902
736	2518	898
737	2522	895
738	2525	891
739	2528	888
740	2532	885
741	2535	881
742	2538	878
743	2542	874
744	2545	871
745	2548	867
746	2553	864
747	2556	861
748	2564	859
749	2568	856
750	2572	852
751	2574	849
752	2578	845
753	2586	843
754	2589	840
755	2591	836
756	2594	832
757	2598	829
758	2601	825
759	2603	822
760	2605	818
761	2607	814
762	2609	810
763	2612	806
764	2615	803
765	2620	800
766	2622	796
767	2624	792
768	2628	789
769	2631	785
770	2633	782
771	2635	778
772	2638	774
773	2644	772
774	2649	769
775	2652	765
776	2654	761
777	2658	758
778	2661	755
779	2664	751
780	2667	747
781	2670	744
782	2674	741
783	2678	737
784	2682	734
785	2686	731
786	2691	728
787	2694	724
788	2696	721
789	2698	717
790	2701	713
791	2706	710
792	2708	707
793	2712	703
794	2714	700
795	2717	696
796	2719	692
797	2721	688
798	2723	685
799	2728	682
800	2731	678
801	2734	675
802	2738	671
803	2741	668
804	2743	664
805	2745	660
806	2751	657
807	2753	654
808	2756	650
809	2759	647
810	2762	643
811	2765	640
812	2768	636
813	2771	633
814	2773	629
815	2776	626
816	2780	622
817	2783	619
818	2786	615
819	2789	612
820	2792	608
821	2796	605
822	2799	601
823	2801	598
824	2804	594
825	2807	591
826	2810	588
827	2813	584
828	2815	580
829	2817	577
830	2818	573
831	2820	569
832	2822	565
833	2825	562
834	2827	558
835	2829	555
836	2832	551
837	2834	547
838	2837	544
839	2841	541
840	2844	537
841	2846	534
842	2849	530
843	2853	527
844	2855	523
845	2858	520
846	2860	516
847	2863	513
848	2866	509
849	2870	506
850	2873	503
851	2875	499
852	2877	495
853	2879	492
854	2881	488
855	2884	485
856	2886	481
857	2889	478
858	2891	474
859	2893	471
860	2896	467
861	2898	463
862	2900	460
863	2902	456
864	2904	453
865	2906	449
866	2908	446
867	2910	442
868	2913	439
869	2915	435
870	2918	432
871	2921	428
872	2924	425
873	2926	421
874	2929	418
875	2932	415
876	2934	411
877	2937	408
878	2939	404
879	2942	401
880	2945	397
881	2949	394
882	2953	391
883	2955	387
884	2961	384
885	2964	381
886	2968	378
887	2971	374
888	2974	371
889	2977	368
890	2980	364
891	2982	361
892	2984	357
893	2988	354
894	2991	350
895	2994	347
896	2997	344
897	3000	340
898	3003	337
899	3006	334
900	3009	330
901	3012	327
902	3014	323
903	3019	320
904	3021	317
905	3024	313
906	3027	310
907	3030	307
908	3034	303
909	3037	300
910	3040	297
911	3044	293
912	3047	290
913	3050	287
914	3053	283
915	3056	280
916	3059	276
917	3063	273
918	3066	270
919	3069	266
920	3072	263
921	3075	260
922	3077	256
923	3079	253
924	3081	249
925	3083	246
926	3086	243
927	3089	239
928	3092	236
929	3096	233
930	3099	229
931	3102	226
932	3105	222
933	3109	219
934	3112	216
935	3114	212
936	3117	209
937	3119	206
938	3121	202
939	3126	199
940	3128	196
941	3131	192
942	3133	189
943	3136	186
944	3139	182
945	3142	179
946	3145	176
947	3147	172
948	3149	169
949	3151	165
950	3154	162
951	3157	159
952	3160	155
953	3163	152
954	3166	149
955	3170	145
956	3172	142
957	3175	139
958	3179	135
959	3181	132
960	3188	129
961	3191	126
962	3194	122
963	3197	119
964	3202	116
965	3205	112
966	3207	109
967	3210	106
968	3213	102
969	3216	99
970	3219	96
971	3222	92
972	3224	89
973	3227	86
974	3230	82
975	3233	79
976	3236	76
977	3239	72
978	3244	69
979	3248	66
980	3252	62
981	3255	59
982	3261	56
983	3264	53
984	3267	49
985	3270	46
986	3275	43
987	3280	39
988	3283	36
989	3286	33
990	3289	29
991	3292	26
992	3295	23
993	3297	19
994	3300	16
995	3303	13
996	3306	9
997	3308	6
998	3310	3
999	3315	0
